Date,ticker,ticker_yfinance,sektor,Open,High,Low,Close,Volume
2024-10-14,ADMR,ADMR.JK,Energi,1425.0,1445.0,1410.0,1420.0,18952500.0
2024-10-15,ADMR,ADMR.JK,Energi,1425.0,1455.0,1420.0,1440.0,15443700.0
2024-10-16,ADMR,ADMR.JK,Energi,1440.0,1460.0,1425.0,1445.0,20985700.0
2024-10-17,ADMR,ADMR.JK,Energi,1455.0,1455.0,1410.0,1415.0,33483100.0
2024-10-18,ADMR,ADMR.JK,Energi,1430.0,1430.0,1400.0,1430.0,23253000.0
2024-10-21,ADMR,ADMR.JK,Energi,1430.0,1480.0,1430.0,1460.0,34991400.0
2024-10-22,ADMR,ADMR.JK,Energi,1460.0,1470.0,1440.0,1450.0,24960700.0
2024-10-23,ADMR,ADMR.JK,Energi,1450.0,1455.0,1420.0,1440.0,16500900.0
2024-10-24,ADMR,ADMR.JK,Energi,1420.0,1440.0,1390.0,1415.0,8656600.0
2024-10-25,ADMR,ADMR.JK,Energi,1415.0,1425.0,1400.0,1400.0,11772700.0
2024-10-28,ADMR,ADMR.JK,Energi,1415.0,1475.0,1415.0,1460.0,51999100.0
2024-10-29,ADMR,ADMR.JK,Energi,1460.0,1470.0,1435.0,1455.0,18373000.0
2024-10-30,ADMR,ADMR.JK,Energi,1435.0,1450.0,1370.0,1410.0,32251600.0
2024-10-31,ADMR,ADMR.JK,Energi,1425.0,1430.0,1400.0,1400.0,26705000.0
2024-11-01,ADMR,ADMR.JK,Energi,1400.0,1410.0,1385.0,1390.0,14431600.0
2024-11-04,ADMR,ADMR.JK,Energi,1390.0,1395.0,1360.0,1365.0,13195000.0
2024-11-05,ADMR,ADMR.JK,Energi,1360.0,1420.0,1360.0,1395.0,22893300.0
2024-11-06,ADMR,ADMR.JK,Energi,1405.0,1410.0,1350.0,1350.0,15194800.0
2024-11-07,ADMR,ADMR.JK,Energi,1350.0,1390.0,1315.0,1360.0,14272800.0
2024-11-08,ADMR,ADMR.JK,Energi,1370.0,1395.0,1350.0,1395.0,14225100.0
2024-11-11,ADMR,ADMR.JK,Energi,1405.0,1405.0,1345.0,1345.0,8812700.0
2024-11-12,ADMR,ADMR.JK,Energi,1385.0,1385.0,1350.0,1375.0,13092000.0
2024-11-13,ADMR,ADMR.JK,Energi,1375.0,1390.0,1360.0,1365.0,10445800.0
2024-11-14,ADMR,ADMR.JK,Energi,1365.0,1365.0,1320.0,1330.0,15339000.0
2024-11-15,ADMR,ADMR.JK,Energi,1325.0,1350.0,1295.0,1310.0,16033200.0
2024-11-18,ADMR,ADMR.JK,Energi,1315.0,1335.0,1250.0,1255.0,19328400.0
2024-11-19,ADMR,ADMR.JK,Energi,1265.0,1320.0,1260.0,1295.0,16765700.0
2024-11-20,ADMR,ADMR.JK,Energi,1290.0,1345.0,1285.0,1310.0,12128000.0
2024-11-21,ADMR,ADMR.JK,Energi,1315.0,1355.0,1290.0,1315.0,17014900.0
2024-11-22,ADMR,ADMR.JK,Energi,1325.0,1335.0,1280.0,1290.0,11428000.0
2024-11-25,ADMR,ADMR.JK,Energi,1290.0,1305.0,1260.0,1265.0,24469200.0
2024-11-26,ADMR,ADMR.JK,Energi,1265.0,1295.0,1265.0,1270.0,21262900.0
2024-11-28,ADMR,ADMR.JK,Energi,1270.0,1280.0,1260.0,1265.0,4431200.0
2024-11-29,ADMR,ADMR.JK,Energi,1265.0,1265.0,1225.0,1225.0,15698400.0
2024-12-02,ADMR,ADMR.JK,Energi,1230.0,1310.0,1230.0,1250.0,19947600.0
2024-12-03,ADMR,ADMR.JK,Energi,1260.0,1275.0,1235.0,1250.0,24793000.0
2024-12-04,ADMR,ADMR.JK,Energi,1270.0,1280.0,1255.0,1275.0,15208500.0
2024-12-05,ADMR,ADMR.JK,Energi,1285.0,1340.0,1275.0,1320.0,20048800.0
2024-12-06,ADMR,ADMR.JK,Energi,1330.0,1335.0,1305.0,1315.0,10515900.0
2024-12-09,ADMR,ADMR.JK,Energi,1325.0,1380.0,1295.0,1345.0,29862000.0
2024-12-10,ADMR,ADMR.JK,Energi,1355.0,1380.0,1320.0,1320.0,28362800.0
2024-12-11,ADMR,ADMR.JK,Energi,1320.0,1335.0,1290.0,1300.0,12875800.0
2024-12-12,ADMR,ADMR.JK,Energi,1300.0,1310.0,1270.0,1270.0,11243900.0
2024-12-13,ADMR,ADMR.JK,Energi,1270.0,1285.0,1235.0,1240.0,23085600.0
2024-12-16,ADMR,ADMR.JK,Energi,1240.0,1240.0,1190.0,1200.0,25410200.0
2024-12-17,ADMR,ADMR.JK,Energi,1200.0,1215.0,1160.0,1165.0,18082400.0
2024-12-18,ADMR,ADMR.JK,Energi,1165.0,1180.0,1120.0,1140.0,21387600.0
2024-12-19,ADMR,ADMR.JK,Energi,1100.0,1150.0,1055.0,1130.0,44493400.0
2024-12-20,ADMR,ADMR.JK,Energi,1130.0,1165.0,1100.0,1150.0,18173400.0
2024-12-23,ADMR,ADMR.JK,Energi,1160.0,1170.0,1080.0,1120.0,24277800.0
