ticker,ticker_yfinance,sektor,jumlah_data,tanggal_awal,tanggal_akhir,open_missing,high_missing,low_missing,close_missing,volume_missing
ADMR,ADMR.JK,Energi,394,2024-10-21,2026-06-22,0,0,0,0,0
ADRO,ADRO.JK,Energi,394,2024-10-21,2026-06-22,0,0,0,0,0
BUMI,BUMI.JK,Energi,394,2024-10-21,2026-06-22,0,0,0,0,0
BYAN,BYAN.JK,Energi,394,2024-10-21,2026-06-22,0,0,0,0,0
CUAN,CUAN.JK,Energi,394,2024-10-21,2026-06-22,0,0,0,0,0
DSSA,DSSA.JK,Energi,394,2024-10-21,2026-06-22,0,0,0,0,0
GEMS,GEMS.JK,Energi,394,2024-10-21,2026-06-22,0,0,0,0,0
PGAS,PGAS.JK,Energi,394,2024-10-21,2026-06-22,0,0,0,0,0
PTRO,PTRO.JK,Energi,394,2024-10-21,2026-06-22,0,0,0,0,0
TCPI,TCPI.JK,Energi,394,2024-10-21,2026-06-22,0,0,0,0,0
BBCA,BBCA.JK,Finansial,394,2024-10-21,2026-06-22,0,0,0,0,0
BBNI,BBNI.JK,Finansial,394,2024-10-21,2026-06-22,0,0,0,0,0
BBRI,BBRI.JK,Finansial,394,2024-10-21,2026-06-22,0,0,0,0,0
BMRI,BMRI.JK,Finansial,394,2024-10-21,2026-06-22,0,0,0,0,0
BNLI,BNLI.JK,Finansial,394,2024-10-21,2026-06-22,0,0,0,0,0
BRIS,BRIS.JK,Finansial,394,2024-10-21,2026-06-22,0,0,0,0,0
CASA,CASA.JK,Finansial,394,2024-10-21,2026-06-22,0,0,0,0,0
DNET,DNET.JK,Finansial,394,2024-10-21,2026-06-22,0,0,0,0,0
MEGA,MEGA.JK,Finansial,394,2024-10-21,2026-06-22,0,0,0,0,0
SMMA,SMMA.JK,Finansial,394,2024-10-21,2026-06-22,0,0,0,0,0
ARNA,ARNA.JK,Industri,394,2024-10-21,2026-06-22,0,0,0,0,0
ASII,ASII.JK,Industri,394,2024-10-21,2026-06-22,0,0,0,0,0
BNBR,BNBR.JK,Industri,396,2024-10-21,2026-06-22,0,0,0,0,0
HEXA,HEXA.JK,Industri,394,2024-10-21,2026-06-22,0,0,0,0,0
IMPC,IMPC.JK,Industri,394,2024-10-21,2026-06-22,0,0,0,0,0
JTPE,JTPE.JK,Industri,394,2024-10-21,2026-06-22,0,0,0,0,0
MARK,MARK.JK,Industri,394,2024-10-21,2026-06-22,0,0,0,0,0
SUNI,SUNI.JK,Industri,394,2024-10-21,2026-06-22,0,0,0,0,0
UNTR,UNTR.JK,Industri,394,2024-10-21,2026-06-22,0,0,0,0,0
VISI,VISI.JK,Industri,394,2024-10-21,2026-06-22,0,0,0,0,0
BELI,BELI.JK,Teknologi,394,2024-10-21,2026-06-22,0,0,0,0,0
BUKA,BUKA.JK,Teknologi,394,2024-10-21,2026-06-22,0,0,0,0,0
CYBR,CYBR.JK,Teknologi,395,2024-10-21,2026-06-22,0,0,0,0,0
DCII,DCII.JK,Teknologi,394,2024-10-21,2026-06-22,0,0,0,0,0
EMTK,EMTK.JK,Teknologi,394,2024-10-21,2026-06-22,0,0,0,0,0
GOTO,GOTO.JK,Teknologi,394,2024-10-21,2026-06-22,0,0,0,0,0
MLPT,MLPT.JK,Teknologi,394,2024-10-21,2026-06-22,0,0,0,0,0
MSTI,MSTI.JK,Teknologi,394,2024-10-21,2026-06-22,0,0,0,0,0
MTDL,MTDL.JK,Teknologi,394,2024-10-21,2026-06-22,0,0,0,0,0
WIFI,WIFI.JK,Teknologi,394,2024-10-21,2026-06-22,0,0,0,0,0
