indicator,variant,threshold_label,threshold_pct,level_label,lower_level,upper_level,candle_label,use_candle_confirmation,volume_label,use_volume_filter,volume_window,volume_multiplier,total_active_signals,correct_signals,directional_accuracy,hit_rate,meets_min_active_signals
MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.10% | Volume >= VolMA20,Histogram Threshold 0.10%,0.001,,,,,False,Volume >= VolMA20,True,20,1.0,123,60,48.78048780487805,48.58156028368795,True
MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.10% | No Volume Filter,Histogram Threshold 0.10%,0.001,,,,,False,No Volume Filter,False,20,0.0,167,78,46.706586826347305,48.99691358024692,True
MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.05% | Volume >= VolMA20,Histogram Threshold 0.05%,0.0005,,,,,False,Volume >= VolMA20,True,20,1.0,164,74,45.1219512195122,45.41284403669725,True
MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.01% | Volume >= VolMA20,Histogram Threshold 0.01%,0.0001,,,,,False,Volume >= VolMA20,True,20,1.0,203,91,44.827586206896555,44.72085385878489,True
MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.025% | Volume >= VolMA20,Histogram Threshold 0.025%,0.00025,,,,,False,Volume >= VolMA20,True,20,1.0,183,81,44.26229508196721,43.55654761904761,True
MACD,MACD 12/26/9 + SMA50 | No Threshold | Volume >= VolMA20,No Threshold,0.0,,,,,False,Volume >= VolMA20,True,20,1.0,219,96,43.83561643835616,43.408826945412315,True
MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.01% | No Volume Filter,Histogram Threshold 0.01%,0.0001,,,,,False,No Volume Filter,False,20,0.0,346,148,42.77456647398844,45.4972804972805,True
MACD,MACD 12/26/9 + SMA50 | No Threshold | No Volume Filter,No Threshold,0.0,,,,,False,No Volume Filter,False,20,0.0,373,157,42.0911528150134,44.699391171993916,True
MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.05% | No Volume Filter,Histogram Threshold 0.05%,0.0005,,,,,False,No Volume Filter,False,20,0.0,255,107,41.96078431372549,45.205128205128204,True
MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.025% | No Volume Filter,Histogram Threshold 0.025%,0.00025,,,,,False,No Volume Filter,False,20,0.0,305,125,40.98360655737705,43.912061174834896,True
RSI,RSI14 + SMA50 | RSI 30/70 | No Candle Confirmation | No Volume Filter,,,RSI 30/70,30.0,70.0,No Candle Confirmation,False,No Volume Filter,False,20,0.0,78,37,47.43589743589743,46.666666666666664,True
RSI,RSI14 + SMA50 | RSI 40/60 | Candle Confirmation | Volume >= VolMA20,,,RSI 40/60,40.0,60.0,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,116,55,47.41379310344828,47.46835443037975,True
RSI,RSI14 + SMA50 | RSI 40/60 | No Candle Confirmation | Volume >= VolMA20,,,RSI 40/60,40.0,60.0,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,127,59,46.45669291338583,47.31800766283525,True
RSI,RSI14 + SMA50 | RSI 30/70 | Candle Confirmation | No Volume Filter,,,RSI 30/70,30.0,70.0,Candle Confirmation,True,No Volume Filter,False,20,0.0,67,31,46.26865671641791,45.59748427672956,True
RSI,RSI14 + SMA50 | RSI 35/65 | No Candle Confirmation | Volume >= VolMA20,,,RSI 35/65,35.0,65.0,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,68,31,45.588235294117645,45.76271186440678,True
RSI,RSI14 + SMA50 | RSI 40/60 | Candle Confirmation | No Volume Filter,,,RSI 40/60,40.0,60.0,Candle Confirmation,True,No Volume Filter,False,20,0.0,214,97,45.32710280373832,46.37426900584796,True
RSI,RSI14 + SMA50 | RSI 35/65 | Candle Confirmation | Volume >= VolMA20,,,RSI 35/65,35.0,65.0,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,62,28,45.16129032258064,45.370370370370374,True
RSI,RSI14 + SMA50 | RSI 30/70 | No Candle Confirmation | Volume >= VolMA20,,,RSI 30/70,30.0,70.0,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,38,17,44.73684210526316,44.44444444444444,True
RSI,RSI14 + SMA50 | RSI 40/60 | No Candle Confirmation | No Volume Filter,,,RSI 40/60,40.0,60.0,No Candle Confirmation,False,No Volume Filter,False,20,0.0,258,114,44.18604651162791,47.182539682539684,True
