sector,variant,pair_label,fast_window,slow_window,threshold_label,threshold_pct,volume_label,use_volume_filter,volume_window,volume_multiplier,signal_column,total_active_signals,correct_signals,directional_accuracy,hit_rate,meets_min_active_signals
Energi,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0_VOL_Signal,24,17,70.83333333333334,67.5,True
Energi,SMA20/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,13,9,69.23076923076923,66.66666666666667,True
Energi,SMA10/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0025_VOL_Signal,16,11,68.75,62.5,True
Energi,SMA10/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p001_VOL_Signal,20,13,65.0,59.375,True
Energi,SMA10/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p005_VOL_Signal,10,6,60.0,56.25,True
Energi,SMA20/SMA50 | No Threshold | Volume >= VolMA20,SMA20/SMA50,20,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0_VOL_Signal,21,12,57.14285714285714,57.407407407407405,True
Energi,SMA10/SMA50 | No Threshold | No Volume Filter,SMA10/SMA50,10,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0_NOVOL_Signal,52,29,55.769230769230774,53.273809523809526,True
Energi,SMA20/SMA50 | Threshold 0.50% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p005_NOVOL_Signal,11,6,54.54545454545454,55.0,True
Energi,SMA10/SMA50 | Threshold 0.25% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0025_NOVOL_Signal,34,18,52.94117647058824,43.75,True
Energi,SMA10/SMA50 | Threshold 0.10% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p001_NOVOL_Signal,46,24,52.17391304347826,46.91358024691358,True
Energi,SMA10/SMA50 | Threshold 0.50% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p005_NOVOL_Signal,22,11,50.0,40.625,True
