sector,indicator,variant,signal_column,total_active_signals,correct_signals,directional_accuracy,hit_rate
Energi,MA Crossover,SMA10/SMA50 + Volume >= 0.8 x VolMA20,MA_Final_Signal,30,21,70.0,64.39393939393939
Energi,MACD,MACD 12/26/9 + SMA50 + Histogram Threshold 0.10% + Volume >= VolMA20,MACD_Final_Signal,34,21,61.76470588235294,56.79012345679012
Energi,RSI,RSI14 30/70 + SMA50,RSI_Final_Signal,27,14,51.85185185185185,50.87719298245614
Finansial,MACD,MACD 12/26/9 + SMA50 + Histogram Threshold 0.10% + Volume >= VolMA20,MACD_Final_Signal,27,15,55.55555555555556,50.0
Finansial,MA Crossover,SMA10/SMA50 + Volume >= 0.8 x VolMA20,MA_Final_Signal,45,23,51.11111111111111,57.8125
Finansial,RSI,RSI14 30/70 + SMA50,RSI_Final_Signal,19,6,31.57894736842105,31.944444444444443
Industri,MA Crossover,SMA10/SMA50 + Volume >= 0.8 x VolMA20,MA_Final_Signal,27,13,48.148148148148145,49.27536231884058
Industri,RSI,RSI14 30/70 + SMA50,RSI_Final_Signal,19,8,42.10526315789473,39.285714285714285
Industri,MACD,MACD 12/26/9 + SMA50 + Histogram Threshold 0.10% + Volume >= VolMA20,MACD_Final_Signal,29,9,31.03448275862069,34.16666666666667
Teknologi,RSI,RSI14 30/70 + SMA50,RSI_Final_Signal,20,11,55.00000000000001,55.88235294117647
Teknologi,MA Crossover,SMA10/SMA50 + Volume >= 0.8 x VolMA20,MA_Final_Signal,30,14,46.666666666666664,46.21212121212121
Teknologi,MACD,MACD 12/26/9 + SMA50 + Histogram Threshold 0.10% + Volume >= VolMA20,MACD_Final_Signal,34,13,38.23529411764706,39.583333333333336
