sektor,ticker,ticker_yfinance,Date,Open,High,Low,Close,Volume
Energi,ADMR,ADMR.JK,2024-10-21,1430.0,1480.0,1430.0,1460.0,34991400.0
Energi,ADMR,ADMR.JK,2024-10-22,1460.0,1470.0,1440.0,1450.0,24960700.0
Energi,ADMR,ADMR.JK,2024-10-23,1450.0,1455.0,1420.0,1440.0,16500900.0
Energi,ADMR,ADMR.JK,2024-10-24,1420.0,1440.0,1390.0,1415.0,8656600.0
Energi,ADMR,ADMR.JK,2024-10-25,1415.0,1425.0,1400.0,1400.0,11772700.0
Energi,ADMR,ADMR.JK,2024-10-28,1415.0,1475.0,1415.0,1460.0,51999100.0
Energi,ADMR,ADMR.JK,2024-10-29,1460.0,1470.0,1435.0,1455.0,18373000.0
Energi,ADMR,ADMR.JK,2024-10-30,1435.0,1450.0,1370.0,1410.0,32251600.0
Energi,ADMR,ADMR.JK,2024-10-31,1425.0,1430.0,1400.0,1400.0,26705000.0
Energi,ADMR,ADMR.JK,2024-11-01,1400.0,1410.0,1385.0,1390.0,14431600.0
Energi,ADMR,ADMR.JK,2024-11-04,1390.0,1395.0,1360.0,1365.0,13195000.0
Energi,ADMR,ADMR.JK,2024-11-05,1360.0,1420.0,1360.0,1395.0,22893300.0
Energi,ADMR,ADMR.JK,2024-11-06,1405.0,1410.0,1350.0,1350.0,15194800.0
Energi,ADMR,ADMR.JK,2024-11-07,1350.0,1390.0,1315.0,1360.0,14272800.0
Energi,ADMR,ADMR.JK,2024-11-08,1370.0,1395.0,1350.0,1395.0,14225100.0
Energi,ADMR,ADMR.JK,2024-11-11,1405.0,1405.0,1345.0,1345.0,8812700.0
Energi,ADMR,ADMR.JK,2024-11-12,1385.0,1385.0,1350.0,1375.0,13092000.0
Energi,ADMR,ADMR.JK,2024-11-13,1375.0,1390.0,1360.0,1365.0,10445800.0
Energi,ADMR,ADMR.JK,2024-11-14,1365.0,1365.0,1320.0,1330.0,15339000.0
Energi,ADMR,ADMR.JK,2024-11-15,1325.0,1350.0,1295.0,1310.0,16033200.0
Energi,ADMR,ADMR.JK,2024-11-18,1315.0,1335.0,1250.0,1255.0,19328400.0
Energi,ADMR,ADMR.JK,2024-11-19,1265.0,1320.0,1260.0,1295.0,16765700.0
Energi,ADMR,ADMR.JK,2024-11-20,1290.0,1345.0,1285.0,1310.0,12128000.0
Energi,ADMR,ADMR.JK,2024-11-21,1315.0,1355.0,1290.0,1315.0,17014900.0
Energi,ADMR,ADMR.JK,2024-11-22,1325.0,1335.0,1280.0,1290.0,11428000.0
Energi,ADMR,ADMR.JK,2024-11-25,1290.0,1305.0,1260.0,1265.0,24469200.0
Energi,ADMR,ADMR.JK,2024-11-26,1265.0,1295.0,1265.0,1270.0,21262900.0
Energi,ADMR,ADMR.JK,2024-11-28,1270.0,1280.0,1260.0,1265.0,4431200.0
Energi,ADMR,ADMR.JK,2024-11-29,1265.0,1265.0,1225.0,1225.0,15698400.0
Energi,ADMR,ADMR.JK,2024-12-02,1230.0,1310.0,1230.0,1250.0,19947600.0
Energi,ADMR,ADMR.JK,2024-12-03,1260.0,1275.0,1235.0,1250.0,24793000.0
Energi,ADMR,ADMR.JK,2024-12-04,1270.0,1280.0,1255.0,1275.0,15208500.0
Energi,ADMR,ADMR.JK,2024-12-05,1285.0,1340.0,1275.0,1320.0,20048800.0
Energi,ADMR,ADMR.JK,2024-12-06,1330.0,1335.0,1305.0,1315.0,10515900.0
Energi,ADMR,ADMR.JK,2024-12-09,1325.0,1380.0,1295.0,1345.0,29862000.0
Energi,ADMR,ADMR.JK,2024-12-10,1355.0,1380.0,1320.0,1320.0,28362800.0
Energi,ADMR,ADMR.JK,2024-12-11,1320.0,1335.0,1290.0,1300.0,12875800.0
Energi,ADMR,ADMR.JK,2024-12-12,1300.0,1310.0,1270.0,1270.0,11243900.0
Energi,ADMR,ADMR.JK,2024-12-13,1270.0,1285.0,1235.0,1240.0,23085600.0
Energi,ADMR,ADMR.JK,2024-12-16,1240.0,1240.0,1190.0,1200.0,25410200.0
Energi,ADMR,ADMR.JK,2024-12-17,1200.0,1215.0,1160.0,1165.0,18082400.0
Energi,ADMR,ADMR.JK,2024-12-18,1165.0,1180.0,1120.0,1140.0,21387600.0
Energi,ADMR,ADMR.JK,2024-12-19,1100.0,1150.0,1055.0,1130.0,44493400.0
Energi,ADMR,ADMR.JK,2024-12-20,1130.0,1165.0,1100.0,1150.0,18173400.0
Energi,ADMR,ADMR.JK,2024-12-23,1160.0,1170.0,1080.0,1120.0,24277800.0
Energi,ADMR,ADMR.JK,2024-12-24,1120.0,1160.0,1100.0,1150.0,10891800.0
Energi,ADMR,ADMR.JK,2024-12-27,1150.0,1175.0,1130.0,1135.0,12767900.0
Energi,ADMR,ADMR.JK,2024-12-30,1160.0,1200.0,1135.0,1200.0,14081300.0
Energi,ADMR,ADMR.JK,2025-01-02,1200.0,1205.0,1155.0,1165.0,11952000.0
Energi,ADMR,ADMR.JK,2025-01-03,1165.0,1185.0,1125.0,1130.0,12036100.0
Energi,ADMR,ADMR.JK,2025-01-06,1140.0,1145.0,1105.0,1105.0,11273600.0
Energi,ADMR,ADMR.JK,2025-01-07,1120.0,1125.0,1070.0,1080.0,22043500.0
Energi,ADMR,ADMR.JK,2025-01-08,1080.0,1100.0,1035.0,1050.0,32939300.0
Energi,ADMR,ADMR.JK,2025-01-09,1050.0,1055.0,1015.0,1030.0,21203700.0
Energi,ADMR,ADMR.JK,2025-01-10,1030.0,1060.0,1030.0,1050.0,23371600.0
Energi,ADMR,ADMR.JK,2025-01-13,1050.0,1055.0,1025.0,1030.0,16480200.0
Energi,ADMR,ADMR.JK,2025-01-14,1050.0,1055.0,1030.0,1035.0,18204700.0
Energi,ADMR,ADMR.JK,2025-01-15,1040.0,1055.0,1030.0,1040.0,14259200.0
Energi,ADMR,ADMR.JK,2025-01-16,1040.0,1080.0,1040.0,1050.0,28111200.0
Energi,ADMR,ADMR.JK,2025-01-17,1055.0,1065.0,1040.0,1045.0,15274700.0
Energi,ADMR,ADMR.JK,2025-01-20,1055.0,1065.0,1025.0,1025.0,22774000.0
Energi,ADMR,ADMR.JK,2025-01-21,1030.0,1040.0,990.0,1000.0,31979100.0
Energi,ADMR,ADMR.JK,2025-01-22,1000.0,1030.0,1000.0,1020.0,16332800.0
Energi,ADMR,ADMR.JK,2025-01-23,1030.0,1045.0,1015.0,1030.0,10346000.0
Energi,ADMR,ADMR.JK,2025-01-24,1035.0,1055.0,1020.0,1020.0,14752100.0
Energi,ADMR,ADMR.JK,2025-01-30,1030.0,1030.0,1000.0,1010.0,10817200.0
Energi,ADMR,ADMR.JK,2025-01-31,1010.0,1020.0,1005.0,1005.0,8233200.0
Energi,ADMR,ADMR.JK,2025-02-03,1005.0,1010.0,920.0,945.0,71464200.0
Energi,ADMR,ADMR.JK,2025-02-04,945.0,960.0,905.0,910.0,54274700.0
Energi,ADMR,ADMR.JK,2025-02-05,915.0,930.0,900.0,910.0,28599800.0
Energi,ADMR,ADMR.JK,2025-02-06,910.0,915.0,880.0,885.0,27269700.0
Energi,ADMR,ADMR.JK,2025-02-07,885.0,895.0,860.0,870.0,16499400.0
Energi,ADMR,ADMR.JK,2025-02-10,870.0,880.0,835.0,850.0,21580100.0
Energi,ADMR,ADMR.JK,2025-02-11,850.0,860.0,800.0,805.0,33995400.0
Energi,ADMR,ADMR.JK,2025-02-12,805.0,845.0,795.0,825.0,25287800.0
Energi,ADMR,ADMR.JK,2025-02-13,830.0,835.0,795.0,805.0,29590100.0
Energi,ADMR,ADMR.JK,2025-02-14,810.0,840.0,810.0,830.0,12847600.0
Energi,ADMR,ADMR.JK,2025-02-17,835.0,855.0,825.0,850.0,17483100.0
Energi,ADMR,ADMR.JK,2025-02-18,855.0,880.0,850.0,860.0,20810300.0
Energi,ADMR,ADMR.JK,2025-02-19,860.0,865.0,835.0,845.0,11285800.0
Energi,ADMR,ADMR.JK,2025-02-20,850.0,850.0,815.0,820.0,22106500.0
Energi,ADMR,ADMR.JK,2025-02-21,820.0,835.0,805.0,830.0,8961100.0
Energi,ADMR,ADMR.JK,2025-02-24,830.0,830.0,810.0,815.0,15761700.0
Energi,ADMR,ADMR.JK,2025-02-25,820.0,825.0,785.0,795.0,21141200.0
Energi,ADMR,ADMR.JK,2025-02-26,795.0,820.0,795.0,795.0,19861400.0
Energi,ADMR,ADMR.JK,2025-02-27,815.0,845.0,800.0,820.0,23698900.0
Energi,ADMR,ADMR.JK,2025-02-28,820.0,825.0,775.0,775.0,24949600.0
Energi,ADMR,ADMR.JK,2025-03-03,785.0,805.0,780.0,790.0,19130500.0
Energi,ADMR,ADMR.JK,2025-03-04,810.0,815.0,700.0,705.0,69464700.0
Energi,ADMR,ADMR.JK,2025-03-05,705.0,750.0,705.0,735.0,39789600.0
Energi,ADMR,ADMR.JK,2025-03-06,760.0,915.0,760.0,855.0,175158200.0
Energi,ADMR,ADMR.JK,2025-03-07,865.0,945.0,830.0,890.0,145447500.0
