sektor,ticker,ticker_yfinance,Date,Open,High,Low,Close,Volume
Teknologi,BELI,BELI.JK,2024-10-21,460.0,464.0,452.0,454.0,1007900.0
Teknologi,BELI,BELI.JK,2024-10-22,454.0,460.0,452.0,452.0,372100.0
Teknologi,BELI,BELI.JK,2024-10-23,452.0,456.0,450.0,452.0,341200.0
Teknologi,BELI,BELI.JK,2024-10-24,454.0,458.0,450.0,452.0,741200.0
Teknologi,BELI,BELI.JK,2024-10-25,452.0,458.0,450.0,452.0,704200.0
Teknologi,BELI,BELI.JK,2024-10-28,454.0,456.0,450.0,450.0,2517300.0
Teknologi,BELI,BELI.JK,2024-10-29,450.0,452.0,450.0,450.0,499700.0
Teknologi,BELI,BELI.JK,2024-10-30,452.0,452.0,450.0,452.0,251400.0
Teknologi,BELI,BELI.JK,2024-10-31,452.0,452.0,450.0,450.0,505700.0
Teknologi,BELI,BELI.JK,2024-11-01,450.0,454.0,450.0,450.0,876000.0
Teknologi,BELI,BELI.JK,2024-11-04,452.0,454.0,450.0,450.0,443200.0
Teknologi,BELI,BELI.JK,2024-11-05,450.0,452.0,450.0,450.0,251600.0
Teknologi,BELI,BELI.JK,2024-11-06,452.0,452.0,450.0,450.0,179800.0
Teknologi,BELI,BELI.JK,2024-11-07,450.0,452.0,450.0,450.0,2198100.0
Teknologi,BELI,BELI.JK,2024-11-08,452.0,452.0,450.0,450.0,122800.0
Teknologi,BELI,BELI.JK,2024-11-11,450.0,452.0,450.0,450.0,1730700.0
Teknologi,BELI,BELI.JK,2024-11-12,450.0,452.0,450.0,450.0,1083700.0
Teknologi,BELI,BELI.JK,2024-11-13,452.0,452.0,450.0,450.0,1546600.0
Teknologi,BELI,BELI.JK,2024-11-14,450.0,452.0,450.0,450.0,1366500.0
Teknologi,BELI,BELI.JK,2024-11-15,450.0,450.0,450.0,450.0,1325200.0
Teknologi,BELI,BELI.JK,2024-11-18,450.0,450.0,450.0,450.0,1058400.0
Teknologi,BELI,BELI.JK,2024-11-19,452.0,452.0,450.0,450.0,122200.0
Teknologi,BELI,BELI.JK,2024-11-20,452.0,452.0,450.0,450.0,36900.0
Teknologi,BELI,BELI.JK,2024-11-21,450.0,452.0,450.0,450.0,1992400.0
Teknologi,BELI,BELI.JK,2024-11-22,450.0,452.0,450.0,450.0,1911700.0
Teknologi,BELI,BELI.JK,2024-11-25,452.0,452.0,448.0,450.0,4019600.0
Teknologi,BELI,BELI.JK,2024-11-26,450.0,452.0,448.0,450.0,3126100.0
Teknologi,BELI,BELI.JK,2024-11-28,450.0,452.0,450.0,450.0,311500.0
Teknologi,BELI,BELI.JK,2024-11-29,450.0,452.0,450.0,450.0,26600.0
Teknologi,BELI,BELI.JK,2024-12-02,450.0,452.0,450.0,450.0,1345300.0
Teknologi,BELI,BELI.JK,2024-12-03,450.0,454.0,450.0,450.0,423800.0
Teknologi,BELI,BELI.JK,2024-12-04,450.0,452.0,450.0,450.0,749400.0
Teknologi,BELI,BELI.JK,2024-12-05,450.0,452.0,450.0,450.0,1137500.0
Teknologi,BELI,BELI.JK,2024-12-06,450.0,450.0,450.0,450.0,95800.0
Teknologi,BELI,BELI.JK,2024-12-09,450.0,452.0,450.0,450.0,2219600.0
Teknologi,BELI,BELI.JK,2024-12-10,450.0,452.0,450.0,450.0,3199800.0
Teknologi,BELI,BELI.JK,2024-12-11,452.0,454.0,450.0,452.0,81400.0
Teknologi,BELI,BELI.JK,2024-12-12,452.0,454.0,450.0,454.0,2362300.0
Teknologi,BELI,BELI.JK,2024-12-13,452.0,458.0,450.0,458.0,3749800.0
Teknologi,BELI,BELI.JK,2024-12-16,458.0,480.0,452.0,468.0,6319100.0
Teknologi,BELI,BELI.JK,2024-12-17,468.0,478.0,460.0,466.0,14812700.0
Teknologi,BELI,BELI.JK,2024-12-18,466.0,478.0,452.0,460.0,22338900.0
Teknologi,BELI,BELI.JK,2024-12-19,458.0,464.0,450.0,464.0,4053500.0
Teknologi,BELI,BELI.JK,2024-12-20,466.0,466.0,452.0,460.0,5708000.0
Teknologi,BELI,BELI.JK,2024-12-23,460.0,460.0,454.0,460.0,3214000.0
Teknologi,BELI,BELI.JK,2024-12-24,460.0,460.0,450.0,456.0,10471800.0
Teknologi,BELI,BELI.JK,2024-12-27,456.0,456.0,452.0,452.0,1584900.0
Teknologi,BELI,BELI.JK,2024-12-30,450.0,452.0,450.0,450.0,2214000.0
Teknologi,BELI,BELI.JK,2025-01-02,450.0,452.0,448.0,450.0,11638100.0
Teknologi,BELI,BELI.JK,2025-01-03,450.0,452.0,448.0,448.0,3958400.0
Teknologi,BELI,BELI.JK,2025-01-06,450.0,452.0,448.0,450.0,5316100.0
Teknologi,BELI,BELI.JK,2025-01-07,450.0,450.0,448.0,450.0,6285100.0
Teknologi,BELI,BELI.JK,2025-01-08,450.0,450.0,448.0,450.0,3849700.0
Teknologi,BELI,BELI.JK,2025-01-09,450.0,450.0,448.0,450.0,12953300.0
Teknologi,BELI,BELI.JK,2025-01-10,450.0,452.0,448.0,450.0,5843100.0
Teknologi,BELI,BELI.JK,2025-01-13,450.0,452.0,448.0,450.0,3266800.0
Teknologi,BELI,BELI.JK,2025-01-14,450.0,450.0,448.0,450.0,5254100.0
Teknologi,BELI,BELI.JK,2025-01-15,450.0,452.0,450.0,450.0,2230800.0
Teknologi,BELI,BELI.JK,2025-01-16,450.0,452.0,450.0,450.0,1308300.0
Teknologi,BELI,BELI.JK,2025-01-17,452.0,452.0,450.0,450.0,1971400.0
Teknologi,BELI,BELI.JK,2025-01-20,450.0,452.0,450.0,450.0,2043600.0
Teknologi,BELI,BELI.JK,2025-01-21,450.0,452.0,448.0,452.0,3289000.0
Teknologi,BELI,BELI.JK,2025-01-22,452.0,452.0,450.0,450.0,2700.0
Teknologi,BELI,BELI.JK,2025-01-23,450.0,452.0,450.0,450.0,543600.0
Teknologi,BELI,BELI.JK,2025-01-24,450.0,452.0,450.0,450.0,2886600.0
Teknologi,BELI,BELI.JK,2025-01-30,450.0,450.0,450.0,450.0,431700.0
Teknologi,BELI,BELI.JK,2025-01-31,450.0,450.0,448.0,450.0,8137300.0
Teknologi,BELI,BELI.JK,2025-02-03,450.0,452.0,448.0,450.0,3256600.0
Teknologi,BELI,BELI.JK,2025-02-04,450.0,452.0,450.0,450.0,2352300.0
Teknologi,BELI,BELI.JK,2025-02-05,450.0,450.0,448.0,450.0,14445300.0
Teknologi,BELI,BELI.JK,2025-02-06,450.0,452.0,448.0,450.0,3402100.0
Teknologi,BELI,BELI.JK,2025-02-07,450.0,450.0,448.0,450.0,4267300.0
Teknologi,BELI,BELI.JK,2025-02-10,450.0,452.0,448.0,450.0,3461400.0
Teknologi,BELI,BELI.JK,2025-02-11,450.0,452.0,448.0,450.0,3888400.0
Teknologi,BELI,BELI.JK,2025-02-12,450.0,452.0,450.0,450.0,833100.0
Teknologi,BELI,BELI.JK,2025-02-13,450.0,452.0,450.0,450.0,53400.0
Teknologi,BELI,BELI.JK,2025-02-14,450.0,452.0,450.0,450.0,26000.0
Teknologi,BELI,BELI.JK,2025-02-17,450.0,452.0,450.0,450.0,245300.0
Teknologi,BELI,BELI.JK,2025-02-18,450.0,452.0,450.0,450.0,1080500.0
Teknologi,BELI,BELI.JK,2025-02-19,450.0,452.0,450.0,450.0,2617700.0
Teknologi,BELI,BELI.JK,2025-02-20,450.0,454.0,450.0,450.0,1615200.0
Teknologi,BELI,BELI.JK,2025-02-21,450.0,452.0,450.0,450.0,54000.0
Teknologi,BELI,BELI.JK,2025-02-24,450.0,452.0,450.0,450.0,773000.0
Teknologi,BELI,BELI.JK,2025-02-25,450.0,452.0,448.0,450.0,5327000.0
Teknologi,BELI,BELI.JK,2025-02-26,450.0,452.0,450.0,450.0,2253800.0
Teknologi,BELI,BELI.JK,2025-02-27,452.0,452.0,450.0,450.0,1188600.0
Teknologi,BELI,BELI.JK,2025-02-28,450.0,452.0,450.0,450.0,1036800.0
Teknologi,BELI,BELI.JK,2025-03-03,450.0,452.0,448.0,450.0,3212600.0
Teknologi,BELI,BELI.JK,2025-03-04,450.0,452.0,430.0,430.0,10668700.0
Teknologi,BELI,BELI.JK,2025-03-05,440.0,440.0,412.0,416.0,12001600.0
Teknologi,BELI,BELI.JK,2025-03-06,416.0,420.0,410.0,410.0,3667600.0
Teknologi,BELI,BELI.JK,2025-03-07,410.0,420.0,410.0,412.0,894600.0
Teknologi,BELI,BELI.JK,2025-03-10,420.0,420.0,410.0,418.0,1392800.0
Teknologi,BELI,BELI.JK,2025-03-11,420.0,420.0,414.0,416.0,1094300.0
Teknologi,BELI,BELI.JK,2025-03-12,416.0,430.0,416.0,424.0,875100.0
Teknologi,BELI,BELI.JK,2025-03-13,424.0,430.0,422.0,430.0,64100.0
Teknologi,BELI,BELI.JK,2025-03-14,432.0,432.0,430.0,430.0,16100.0
Teknologi,BELI,BELI.JK,2025-03-17,430.0,434.0,420.0,430.0,1196200.0
Teknologi,BELI,BELI.JK,2025-03-18,434.0,434.0,418.0,424.0,205200.0
Teknologi,BELI,BELI.JK,2025-03-19,424.0,428.0,422.0,422.0,295600.0
Teknologi,BELI,BELI.JK,2025-03-20,428.0,430.0,412.0,414.0,2963600.0
Teknologi,BELI,BELI.JK,2025-03-21,416.0,418.0,414.0,418.0,210200.0
Teknologi,BELI,BELI.JK,2025-03-24,416.0,424.0,410.0,422.0,1195600.0
Teknologi,BELI,BELI.JK,2025-03-25,424.0,430.0,420.0,430.0,361400.0
Teknologi,BELI,BELI.JK,2025-03-26,430.0,442.0,428.0,442.0,1194400.0
Teknologi,BELI,BELI.JK,2025-03-27,442.0,448.0,442.0,448.0,377600.0
Teknologi,BELI,BELI.JK,2025-04-08,444.0,444.0,424.0,440.0,5822300.0
Teknologi,BELI,BELI.JK,2025-04-09,438.0,444.0,420.0,440.0,1504200.0
Teknologi,BELI,BELI.JK,2025-04-10,442.0,444.0,424.0,442.0,1261700.0
