ticker,ticker_yfinance,sektor,status_fetch,jumlah_data,tanggal_awal,tanggal_akhir,kolom_ohlcv_lengkap,error_message
BBCA,BBCA.JK,Finansial,SUCCESS,406,2024-10-14,2026-06-26,True,
BBRI,BBRI.JK,Finansial,SUCCESS,406,2024-10-14,2026-06-26,True,
BMRI,BMRI.JK,Finansial,SUCCESS,406,2024-10-14,2026-06-26,True,
SMMA,SMMA.JK,Finansial,SUCCESS,406,2024-10-14,2026-06-26,True,
DNET,DNET.JK,Finansial,SUCCESS,406,2024-10-14,2026-06-26,True,
BBNI,BBNI.JK,Finansial,SUCCESS,406,2024-10-14,2026-06-26,True,
BNLI,BNLI.JK,Finansial,SUCCESS,406,2024-10-14,2026-06-26,True,
CASA,CASA.JK,Finansial,SUCCESS,406,2024-10-14,2026-06-26,True,
BRIS,BRIS.JK,Finansial,SUCCESS,406,2024-10-14,2026-06-26,True,
MEGA,MEGA.JK,Finansial,SUCCESS,406,2024-10-14,2026-06-26,True,
ASII,ASII.JK,Industri,SUCCESS,406,2024-10-14,2026-06-26,True,
IMPC,IMPC.JK,Industri,SUCCESS,406,2024-10-14,2026-06-26,True,
UNTR,UNTR.JK,Industri,SUCCESS,406,2024-10-14,2026-06-26,True,
BNBR,BNBR.JK,Industri,SUCCESS,406,2024-10-14,2026-06-26,True,
SUNI,SUNI.JK,Industri,SUCCESS,406,2024-10-14,2026-06-26,True,
JTPE,JTPE.JK,Industri,SUCCESS,406,2024-10-14,2026-06-26,True,
HEXA,HEXA.JK,Industri,SUCCESS,406,2024-10-14,2026-06-26,True,
VISI,VISI.JK,Industri,SUCCESS,406,2024-10-14,2026-06-26,True,
MARK,MARK.JK,Industri,SUCCESS,406,2024-10-14,2026-06-26,True,
ARNA,ARNA.JK,Industri,SUCCESS,406,2024-10-14,2026-06-26,True,
DCII,DCII.JK,Teknologi,SUCCESS,406,2024-10-14,2026-06-26,True,
GOTO,GOTO.JK,Teknologi,SUCCESS,406,2024-10-14,2026-06-26,True,
BELI,BELI.JK,Teknologi,SUCCESS,406,2024-10-14,2026-06-26,True,
MLPT,MLPT.JK,Teknologi,SUCCESS,406,2024-10-14,2026-06-26,True,
EMTK,EMTK.JK,Teknologi,SUCCESS,406,2024-10-14,2026-06-26,True,
BUKA,BUKA.JK,Teknologi,SUCCESS,406,2024-10-14,2026-06-26,True,
WIFI,WIFI.JK,Teknologi,SUCCESS,406,2024-10-14,2026-06-26,True,
CYBR,CYBR.JK,Teknologi,SUCCESS,406,2024-10-14,2026-06-26,True,
MTDL,MTDL.JK,Teknologi,SUCCESS,406,2024-10-14,2026-06-26,True,
MSTI,MSTI.JK,Teknologi,SUCCESS,406,2024-10-14,2026-06-26,True,
BYAN,BYAN.JK,Energi,SUCCESS,406,2024-10-14,2026-06-26,True,
DSSA,DSSA.JK,Energi,SUCCESS,406,2024-10-14,2026-06-26,True,
CUAN,CUAN.JK,Energi,SUCCESS,406,2024-10-14,2026-06-26,True,
ADRO,ADRO.JK,Energi,SUCCESS,406,2024-10-14,2026-06-26,True,
ADMR,ADMR.JK,Energi,SUCCESS,406,2024-10-14,2026-06-26,True,
BUMI,BUMI.JK,Energi,SUCCESS,406,2024-10-14,2026-06-26,True,
TCPI,TCPI.JK,Energi,SUCCESS,406,2024-10-14,2026-06-26,True,
PTRO,PTRO.JK,Energi,SUCCESS,406,2024-10-14,2026-06-26,True,
GEMS,GEMS.JK,Energi,SUCCESS,406,2024-10-14,2026-06-26,True,
PGAS,PGAS.JK,Energi,SUCCESS,406,2024-10-14,2026-06-26,True,
