ticker,ticker_yfinance,sector,best_indicator,rows,start_date,prev_date,latest_date,prev_close,latest_close,latest_signal,expected_signal,ma_signal,macd_signal,rsi_signal,sma10_prev,sma50_prev,sma10_latest,sma50_latest,macd_prev,macd_signal_prev,macd_latest,macd_signal_latest,rsi_prev,rsi_latest,condition,validation_status
ADMR,ADMR.JK,Energi,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,1515.0,1530.0,HOLD,HOLD,HOLD,HOLD,HOLD,1539.0,1691.9,1552.0,1687.0,-31.14253088206965,-56.735665078787264,-29.952577144082397,-51.37904749184629,50.253807106598984,50.0,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
ADRO,ADRO.JK,Energi,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,2220.0,2290.0,HOLD,HOLD,HOLD,HOLD,HOLD,2262.0,2396.2,2267.0,2393.6,-36.614469384372114,-43.50330642533547,-32.590346315441366,-41.32071440335665,44.11764705882353,49.33333333333333,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
BUMI,BUMI.JK,Energi,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,168.0,162.0,HOLD,HOLD,HOLD,HOLD,HOLD,153.6,200.72,155.9,198.92,-10.073530545862383,-15.131607835926854,-9.284952339574915,-13.962276736656467,50.909090909090914,47.368421052631575,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
BYAN,BYAN.JK,Energi,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,11000.0,13200.0,HOLD,HOLD,HOLD,HOLD,HOLD,9807.5,10992.0,10175.0,11033.5,-280.66604067078515,-419.35345539153894,-4.169606293871766,-336.31668557200555,66.41221374045801,81.3953488372093,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
CUAN,CUAN.JK,Energi,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,680.0,655.0,HOLD,HOLD,HOLD,HOLD,HOLD,703.5,985.72,701.5,974.22,-59.603938146667474,-86.4942582512667,-58.78309503535252,-80.95202560808386,60.355029585798825,51.67785234899329,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
DSSA,DSSA.JK,Energi,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,850.0,850.0,HOLD,HOLD,HOLD,HOLD,HOLD,744.5,1459.06,768.5,1422.46,-138.22298799067607,-224.9417906754801,-120.49482287917124,-204.05239711621834,75.2415458937198,73.30729166666667,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
GEMS,GEMS.JK,Energi,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,6575.0,6425.0,HOLD,HOLD,HOLD,HOLD,HOLD,6410.0,7582.5,6462.5,7541.0,-303.92491262880867,-350.66318417919274,-301.7061753251164,-340.8717824083775,33.33333333333333,33.58208955223881,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
PGAS,PGAS.JK,Energi,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,1540.0,1560.0,HOLD,HOLD,HOLD,HOLD,BUY,1520.5,1797.4,1524.5,1792.0,-88.61894583021967,-83.84525735792138,-84.396379859214,-83.95548185817991,27.950310559006212,32.450331125827816,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
PTRO,PTRO.JK,Energi,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,4260.0,4040.0,HOLD,HOLD,HOLD,HOLD,HOLD,4093.0,4902.1,4132.0,4878.4,-141.85118003832395,-230.65835724631432,-143.33055385491934,-213.19279656803533,56.07476635514019,41.17647058823529,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
TCPI,TCPI.JK,Energi,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,7825.0,7525.0,HOLD,HOLD,HOLD,HOLD,HOLD,9052.5,11163.0,8875.0,11069.0,-765.2059686946632,-610.1451556794382,-844.3005393294825,-656.976232409447,14.444444444444443,14.054054054054049,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
BBCA,BBCA.JK,Finansial,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,6300.0,6225.0,HOLD,HOLD,HOLD,HOLD,HOLD,5740.0,6060.5,5855.0,6050.0,12.904259122339681,-99.8240336198631,36.272371444949385,-72.6047526069006,55.038759689922486,58.67768595041322,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
BBNI,BBNI.JK,Finansial,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,3670.0,3490.0,HOLD,HOLD,HOLD,HOLD,HOLD,3500.0,3724.8,3528.0,3719.0,-35.54105535833423,-73.05094105279859,-43.191532513355924,-67.07905934491006,45.45454545454545,44.502617801047116,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
BBRI,BBRI.JK,Finansial,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,2930.0,2870.0,HOLD,HOLD,HOLD,HOLD,HOLD,2866.0,3101.8,2879.0,3092.4,-51.88224264046312,-76.48745795585457,-52.71916536315666,-71.73379943731499,44.852941176470594,46.92307692307692,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
BMRI,BMRI.JK,Finansial,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,4310.0,4220.0,HOLD,HOLD,HOLD,HOLD,HOLD,4212.0,4350.8,4250.0,4341.8,14.715881126492604,-44.97292046419951,9.802883303302224,-34.01775971069917,55.29411764705882,54.02298850574712,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
BNLI,BNLI.JK,Finansial,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,2700.0,2640.0,HOLD,HOLD,HOLD,SELL,HOLD,2932.0,3153.6,2919.0,3146.8,-50.60685625165888,-60.80309448477425,-74.41657490659327,-63.52579056913806,38.8235294117647,36.41618497109827,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
BRIS,BRIS.JK,Finansial,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,1835.0,1770.0,HOLD,HOLD,HOLD,SELL,HOLD,1809.5,1895.1,1810.0,1888.7,-17.92377621231026,-21.371820744536066,-21.913057909964436,-21.48006817762174,44.751381215469614,38.58695652173913,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
CASA,CASA.JK,Finansial,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,1830.0,1885.0,HOLD,HOLD,HOLD,HOLD,HOLD,1598.5,1393.4,1652.0,1404.5,118.40512245176205,68.35230067868375,129.61996782203528,80.60583410735406,73.30097087378641,74.65437788018433,"SMA10 > SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
DNET,DNET.JK,Finansial,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,10300.0,10275.0,HOLD,HOLD,HOLD,SELL,HOLD,10215.0,9649.0,10235.0,9672.5,206.32239916167237,201.00792921946046,198.66287848690627,200.53891907294965,55.1948051948052,38.05309734513275,"SMA10 > SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
MEGA,MEGA.JK,Finansial,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,2110.0,2060.0,HOLD,HOLD,HOLD,HOLD,SELL,1997.0,2190.95,2022.0,2176.9,8.527168355866934,-40.737494032997624,11.498295840683113,-30.29033605826148,72.51908396946564,68.84057971014492,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
SMMA,SMMA.JK,Finansial,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,22875.0,21900.0,HOLD,HOLD,HOLD,HOLD,SELL,22555.0,17336.0,22745.0,17480.5,1766.9433069817824,1590.1958097813326,1636.0697292464683,1599.3705936743597,71.49220489977728,66.18556701030928,"SMA10 > SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
ARNA,ARNA.JK,Industri,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,430.0,430.0,HOLD,HOLD,HOLD,HOLD,HOLD,419.4,473.0,421.4,471.0,-13.814927670560053,-17.17632603207082,-12.544621098286257,-16.249985045313906,36.111111111111114,38.23529411764706,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
ASII,ASII.JK,Industri,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,4810.0,4730.0,HOLD,HOLD,HOLD,HOLD,HOLD,4701.0,5615.6,4717.0,5586.2,-257.66482005297075,-299.91256236744755,-246.37650945113728,-289.2053517841855,39.175257731958766,40.42553191489362,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
BNBR,BNBR.JK,Industri,MA Crossover,396,2024-10-21,2026-06-19,2026-06-22,92.34634399414062,88.98828887939453,HOLD,HOLD,HOLD,HOLD,HOLD,99.86570739746094,154.7489973449707,100.2645362854004,153.5687631225586,-14.195967085628155,-15.10459017980346,-14.289436627952199,-14.941559469433209,34.810383199627466,34.42292515550746,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
HEXA,HEXA.JK,Industri,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,4490.0,4470.0,HOLD,HOLD,HOLD,HOLD,HOLD,4340.0,4431.4,4365.0,4433.0,5.377089528896249,-23.08373232242922,10.91617638263142,-16.283750581417095,54.651162790697676,55.29411764705882,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
IMPC,IMPC.JK,Industri,MA Crossover,394,2024-10-21,2026-06-19,2026-06-22,1690.0,1605.0,HOLD,HOLD,HOLD,HOLD,HOLD,1599.5,2008.0,1607.0,1993.7,-93.10593698977073,-114.83962973404397,-92.18489057893089,-110.30868190302135,47.40740740740741,41.97080291970803,"SMA10 < SMA50, tetapi tidak terjadi crossover baru pada data terakhir.",VALID_HOLD
