sektor,indicator,signal_column,total_stocks,total_windows,total_active_signals,correct_signals,directional_accuracy,hit_rate
Energi,MA Crossover,MA_Crossover_Signal,10,40,44,31,70.45454545454545,72.8395061728395
Energi,MACD,MACD_Trade_Signal,10,40,141,78,55.319148936170215,58.845238095238095
Energi,RSI,RSI_Signal,10,40,125,62,49.6,48.63247863247863
Finansial,MA Crossover,MA_Crossover_Signal,10,40,72,35,48.61111111111111,56.7156862745098
Finansial,MACD,MACD_Trade_Signal,10,40,154,78,50.649350649350644,54.63988095238095
Finansial,RSI,RSI_Signal,10,40,121,56,46.28099173553719,50.25
Industri,MA Crossover,MA_Crossover_Signal,10,40,48,29,60.416666666666664,67.81609195402298
Industri,MACD,MACD_Trade_Signal,10,40,148,69,46.62162162162162,51.75595238095237
Industri,RSI,RSI_Signal,10,40,121,60,49.586776859504134,51.499356499356495
Teknologi,MA Crossover,MA_Crossover_Signal,10,40,47,25,53.191489361702125,57.26190476190476
Teknologi,MACD,MACD_Trade_Signal,10,40,180,72,40.0,44.18154761904761
Teknologi,RSI,RSI_Signal,10,40,116,44,37.93103448275862,37.70833333333333
