sektor,window_id,in_sample_start,in_sample_end,out_sample_start,out_sample_end,selected_indicator,selected_signal_column,in_sample_total_stocks,in_sample_total_active_signals,in_sample_correct_signals,in_sample_directional_accuracy,out_sample_total_stocks,out_sample_total_active_signals,out_sample_correct_signals,out_sample_directional_accuracy
Energi,1,2024-10-21,2025-04-20,2025-04-21,2025-07-21,MA Crossover,MA_Crossover_Signal,10,29,15,51.724137931034484,10,15,10,66.66666666666666
Energi,2,2025-01-21,2025-07-20,2025-07-21,2025-10-21,RSI,RSI_Signal,10,38,23,60.526315789473685,10,11,7,63.63636363636363
Energi,3,2025-04-21,2025-10-20,2025-10-21,2026-01-21,RSI,RSI_Signal,10,19,13,68.42105263157895,10,14,5,35.714285714285715
Energi,4,2025-07-21,2026-01-20,2026-01-21,2026-04-21,MA Crossover,MA_Crossover_Signal,10,28,18,64.28571428571429,10,6,5,83.33333333333334
Finansial,1,2024-10-21,2025-04-20,2025-04-21,2025-07-21,RSI,RSI_Signal,10,32,14,43.75,10,15,10,66.66666666666666
Finansial,2,2025-01-21,2025-07-20,2025-07-21,2025-10-21,RSI,RSI_Signal,10,30,15,50.0,10,8,4,50.0
Finansial,3,2025-04-21,2025-10-20,2025-10-21,2026-01-21,RSI,RSI_Signal,10,24,13,54.166666666666664,10,10,3,30.0
Finansial,4,2025-07-21,2026-01-20,2026-01-21,2026-04-21,MA Crossover,MA_Crossover_Signal,10,38,18,47.368421052631575,10,20,8,40.0
Industri,1,2024-10-21,2025-04-20,2025-04-21,2025-07-21,RSI,RSI_Signal,10,30,17,56.666666666666664,10,10,5,50.0
Industri,2,2025-01-21,2025-07-20,2025-07-21,2025-10-21,MA Crossover,MA_Crossover_Signal,10,21,13,61.904761904761905,10,8,7,87.5
Industri,3,2025-04-21,2025-10-20,2025-10-21,2026-01-21,MA Crossover,MA_Crossover_Signal,10,22,16,72.72727272727273,10,8,4,50.0
Industri,4,2025-07-21,2026-01-20,2026-01-21,2026-04-21,MA Crossover,MA_Crossover_Signal,10,16,11,68.75,10,19,9,47.368421052631575
Teknologi,1,2024-10-21,2025-04-20,2025-04-21,2025-07-21,RSI,RSI_Signal,10,36,23,63.888888888888886,10,6,3,50.0
Teknologi,2,2025-01-21,2025-07-20,2025-07-21,2025-10-21,RSI,RSI_Signal,10,26,14,53.84615384615385,10,20,6,30.0
Teknologi,3,2025-04-21,2025-10-20,2025-10-21,2026-01-21,MA Crossover,MA_Crossover_Signal,10,34,20,58.82352941176471,10,9,3,33.33333333333333
Teknologi,4,2025-07-21,2026-01-20,2026-01-21,2026-04-21,MA Crossover,MA_Crossover_Signal,10,22,10,45.45454545454545,10,5,4,80.0
