sektor,ticker,ticker_yfinance,indicator,signal_column,windows_count,total_active_signals,correct_signals,directional_accuracy,hit_rate
Energi,ADMR,ADMR.JK,MA Crossover,MA_Crossover_Signal,4,4,3,75.0,66.66666666666667
Energi,ADMR,ADMR.JK,MACD,MACD_Trade_Signal,4,3,2,66.66666666666666,66.66666666666667
Energi,ADMR,ADMR.JK,RSI,RSI_Signal,4,5,2,40.0,50.0
Energi,ADRO,ADRO.JK,MA Crossover,MA_Crossover_Signal,4,2,1,50.0,50.0
Energi,ADRO,ADRO.JK,MACD,MACD_Trade_Signal,4,4,2,50.0,33.33333333333333
Energi,ADRO,ADRO.JK,RSI,RSI_Signal,4,3,1,33.33333333333333,33.333333333333336
Energi,BUMI,BUMI.JK,MA Crossover,MA_Crossover_Signal,4,2,1,50.0,50.0
Energi,BUMI,BUMI.JK,MACD,MACD_Trade_Signal,4,5,3,60.0,50.0
Energi,BUMI,BUMI.JK,RSI,RSI_Signal,4,2,2,100.0,100.0
Energi,BYAN,BYAN.JK,MA Crossover,MA_Crossover_Signal,4,0,0,0.0,0.0
Energi,BYAN,BYAN.JK,MACD,MACD_Trade_Signal,4,3,0,0.0,0.0
Energi,BYAN,BYAN.JK,RSI,RSI_Signal,4,3,1,33.33333333333333,50.0
Energi,CUAN,CUAN.JK,MA Crossover,MA_Crossover_Signal,4,1,1,100.0,100.0
Energi,CUAN,CUAN.JK,MACD,MACD_Trade_Signal,4,3,2,66.66666666666666,66.66666666666667
Energi,CUAN,CUAN.JK,RSI,RSI_Signal,4,4,3,75.0,83.33333333333333
Energi,DSSA,DSSA.JK,MA Crossover,MA_Crossover_Signal,4,2,1,50.0,50.0
Energi,DSSA,DSSA.JK,MACD,MACD_Trade_Signal,4,5,5,100.0,100.0
Energi,DSSA,DSSA.JK,RSI,RSI_Signal,4,2,1,50.0,50.0
Energi,GEMS,GEMS.JK,MA Crossover,MA_Crossover_Signal,4,6,4,66.66666666666666,62.5
Energi,GEMS,GEMS.JK,MACD,MACD_Trade_Signal,4,1,1,100.0,100.0
Energi,GEMS,GEMS.JK,RSI,RSI_Signal,4,1,0,0.0,0.0
Energi,PGAS,PGAS.JK,MA Crossover,MA_Crossover_Signal,4,3,1,33.33333333333333,33.333333333333336
Energi,PGAS,PGAS.JK,MACD,MACD_Trade_Signal,4,5,3,60.0,55.55555555555555
Energi,PGAS,PGAS.JK,RSI,RSI_Signal,4,0,0,0.0,0.0
Energi,PTRO,PTRO.JK,MA Crossover,MA_Crossover_Signal,4,5,4,80.0,88.88888888888887
Energi,PTRO,PTRO.JK,MACD,MACD_Trade_Signal,4,3,2,66.66666666666666,66.66666666666667
Energi,PTRO,PTRO.JK,RSI,RSI_Signal,4,3,3,100.0,100.0
Energi,TCPI,TCPI.JK,MA Crossover,MA_Crossover_Signal,4,5,5,100.0,100.0
Energi,TCPI,TCPI.JK,MACD,MACD_Trade_Signal,4,2,1,50.0,50.0
Energi,TCPI,TCPI.JK,RSI,RSI_Signal,4,4,1,25.0,33.333333333333336
Finansial,BBCA,BBCA.JK,MA Crossover,MA_Crossover_Signal,4,4,3,75.0,66.66666666666667
Finansial,BBCA,BBCA.JK,MACD,MACD_Trade_Signal,4,3,2,66.66666666666666,75.0
Finansial,BBCA,BBCA.JK,RSI,RSI_Signal,4,1,0,0.0,0.0
Finansial,BBNI,BBNI.JK,MA Crossover,MA_Crossover_Signal,4,5,3,60.0,75.0
Finansial,BBNI,BBNI.JK,MACD,MACD_Trade_Signal,4,3,2,66.66666666666666,50.0
Finansial,BBNI,BBNI.JK,RSI,RSI_Signal,4,0,0,0.0,0.0
Finansial,BBRI,BBRI.JK,MA Crossover,MA_Crossover_Signal,4,5,3,60.0,62.5
Finansial,BBRI,BBRI.JK,MACD,MACD_Trade_Signal,4,3,2,66.66666666666666,66.66666666666667
Finansial,BBRI,BBRI.JK,RSI,RSI_Signal,4,1,0,0.0,0.0
Finansial,BMRI,BMRI.JK,MA Crossover,MA_Crossover_Signal,4,7,2,28.57142857142857,50.0
Finansial,BMRI,BMRI.JK,MACD,MACD_Trade_Signal,4,3,1,33.33333333333333,33.333333333333336
Finansial,BMRI,BMRI.JK,RSI,RSI_Signal,4,2,0,0.0,0.0
Finansial,BNLI,BNLI.JK,MA Crossover,MA_Crossover_Signal,4,3,2,66.66666666666666,66.66666666666667
Finansial,BNLI,BNLI.JK,MACD,MACD_Trade_Signal,4,4,3,75.0,75.0
Finansial,BNLI,BNLI.JK,RSI,RSI_Signal,4,3,2,66.66666666666666,75.0
Finansial,BRIS,BRIS.JK,MA Crossover,MA_Crossover_Signal,4,3,2,66.66666666666666,66.66666666666667
Finansial,BRIS,BRIS.JK,MACD,MACD_Trade_Signal,4,1,0,0.0,0.0
Finansial,BRIS,BRIS.JK,RSI,RSI_Signal,4,0,0,0.0,0.0
Finansial,CASA,CASA.JK,MA Crossover,MA_Crossover_Signal,4,1,1,100.0,100.0
Finansial,CASA,CASA.JK,MACD,MACD_Trade_Signal,4,0,0,0.0,0.0
Finansial,CASA,CASA.JK,RSI,RSI_Signal,4,4,1,25.0,25.0
Finansial,DNET,DNET.JK,MA Crossover,MA_Crossover_Signal,4,5,2,40.0,33.333333333333336
Finansial,DNET,DNET.JK,MACD,MACD_Trade_Signal,4,2,0,0.0,0.0
Finansial,DNET,DNET.JK,RSI,RSI_Signal,4,3,2,66.66666666666666,75.0
Finansial,MEGA,MEGA.JK,MA Crossover,MA_Crossover_Signal,4,7,4,57.14285714285714,62.5
Finansial,MEGA,MEGA.JK,MACD,MACD_Trade_Signal,4,4,2,50.0,33.333333333333336
Finansial,MEGA,MEGA.JK,RSI,RSI_Signal,4,2,0,0.0,0.0
Finansial,SMMA,SMMA.JK,MA Crossover,MA_Crossover_Signal,4,5,1,20.0,16.666666666666668
Finansial,SMMA,SMMA.JK,MACD,MACD_Trade_Signal,4,4,3,75.0,66.66666666666667
Finansial,SMMA,SMMA.JK,RSI,RSI_Signal,4,3,1,33.33333333333333,33.33333333333333
Industri,ARNA,ARNA.JK,MA Crossover,MA_Crossover_Signal,4,3,0,0.0,0.0
Industri,ARNA,ARNA.JK,MACD,MACD_Trade_Signal,4,6,2,33.33333333333333,33.33333333333333
Industri,ARNA,ARNA.JK,RSI,RSI_Signal,4,3,1,33.33333333333333,33.333333333333336
Industri,ASII,ASII.JK,MA Crossover,MA_Crossover_Signal,4,3,1,33.33333333333333,33.333333333333336
Industri,ASII,ASII.JK,MACD,MACD_Trade_Signal,4,7,2,28.57142857142857,37.5
Industri,ASII,ASII.JK,RSI,RSI_Signal,4,1,0,0.0,0.0
Industri,BNBR,BNBR.JK,MA Crossover,MA_Crossover_Signal,4,4,2,50.0,50.0
