sektor;ticker;ticker_yfinance;indicator;signal_column;windows_count;total_active_signals;correct_signals;directional_accuracy;hit_rate
Energi;ADMR;ADMR.JK;MA Crossover;MA_Crossover_Signal;4;6;4;6.666.666.666.666.660;7.777.777.777.777.770
Energi;ADMR;ADMR.JK;MACD;MACD_Trade_Signal;4;6;2;3.333.333.333.333.330;27.777.777.777.777.700
Energi;ADMR;ADMR.JK;RSI;RSI_Signal;4;5;2;40.0;50.0
Energi;ADRO;ADRO.JK;MA Crossover;MA_Crossover_Signal;4;7;4;5.714.285.714.285.710;5.555.555.555.555.550
Energi;ADRO;ADRO.JK;MACD;MACD_Trade_Signal;4;9;4;4.444.444.444.444.440;44.444.444.444.444.400
Energi;ADRO;ADRO.JK;RSI;RSI_Signal;4;4;2;50.0;33.333.333.333.333.300
Energi;BUMI;BUMI.JK;MA Crossover;MA_Crossover_Signal;4;4;2;50.0;50.0
Energi;BUMI;BUMI.JK;MACD;MACD_Trade_Signal;4;8;4;50.0;50.0
Energi;BUMI;BUMI.JK;RSI;RSI_Signal;4;1;1;100.0;100.0
Energi;BYAN;BYAN.JK;MA Crossover;MA_Crossover_Signal;4;4;1;25.0;25.0
Energi;BYAN;BYAN.JK;MACD;MACD_Trade_Signal;4;13;4;3.076.923.076.923.070;31.249.999.999.999.900
Energi;BYAN;BYAN.JK;RSI;RSI_Signal;4;2;1;50.0;50.0
Energi;CUAN;CUAN.JK;MA Crossover;MA_Crossover_Signal;4;4;3;75.0;8.333.333.333.333.330
Energi;CUAN;CUAN.JK;MACD;MACD_Trade_Signal;4;5;4;80.0;87.5
Energi;CUAN;CUAN.JK;RSI;RSI_Signal;4;4;3;75.0;8.333.333.333.333.330
Energi;DSSA;DSSA.JK;MA Crossover;MA_Crossover_Signal;4;3;1;3.333.333.333.333.330;50.0
Energi;DSSA;DSSA.JK;MACD;MACD_Trade_Signal;4;10;7;70.0;6.666.666.666.666.660
Energi;DSSA;DSSA.JK;RSI;RSI_Signal;4;3;2;6.666.666.666.666.660;75.0
Energi;GEMS;GEMS.JK;MA Crossover;MA_Crossover_Signal;4;7;4;5.714.285.714.285.710;50.0
Energi;GEMS;GEMS.JK;MACD;MACD_Trade_Signal;4;8;4;50.0;5.333.333.333.333.330
Energi;GEMS;GEMS.JK;RSI;RSI_Signal;4;1;0;0.0;0.0
Energi;PGAS;PGAS.JK;MA Crossover;MA_Crossover_Signal;4;6;3;50.0;50.0
Energi;PGAS;PGAS.JK;MACD;MACD_Trade_Signal;4;9;5;5.555.555.555.555.550;5.833.333.333.333.330
Energi;PGAS;PGAS.JK;RSI;RSI_Signal;4;0;0;0.0;0.0
Energi;PTRO;PTRO.JK;MA Crossover;MA_Crossover_Signal;4;3;1;3.333.333.333.333.330;50.0
Energi;PTRO;PTRO.JK;MACD;MACD_Trade_Signal;4;6;5;8.333.333.333.333.330;8.333.333.333.333.330
